// Sidearms
// -----------------------------------------------------------------------------

// Lonesome
//notes:TruePico: Recommended MW: Range or Stability
dimwishlist:item=2199171672&perks=3250034553,1885400500,247725512
dimwishlist:item=2121785039&perks=839105230,1561002382,2450788523,3592538738
dimwishlist:item=2121785039&perks=839105230,1561002382,2450788523,2848615171
dimwishlist:item=2121785039&perks=839105230,1561002382,2450788523,3350417888
dimwishlist:item=2121785039&perks=4090651448,1431678320,2779035018,4104185692
dimwishlist:item=2121785039&perks=4090651448,1431678320,2779035018,3425386926
dimwishlist:item=2121785039&perks=4090651448,1431678320,2779035018,3592538738
dimwishlist:item=2121785039&perks=4090651448,1431678320,2779035018,2848615171
dimwishlist:item=2121785039&perks=4090651448,1431678320,2779035018,3350417888
dimwishlist:item=2121785039&perks=4090651448,1431678320,247725512,4104185692
dimwishlist:item=2121785039&perks=4090651448,1431678320,247725512,3425386926
dimwishlist:item=2121785039&perks=4090651448,1431678320,247725512,3592538738
dimwishlist:item=2121785039&perks=4090651448,1431678320,247725512,2848615171
dimwishlist:item=2121785039&perks=4090651448,1431678320,247725512,3350417888
dimwishlist:item=2121785039&perks=4090651448,1431678320,2450788523,4104185692
dimwishlist:item=2121785039&perks=4090651448,1431678320,2450788523,3425386926
dimwishlist:item=2121785039&perks=4090651448,1431678320,2450788523,3592538738
dimwishlist:item=2121785039&perks=4090651448,1431678320,2450788523,2848615171
dimwishlist:item=2121785039&perks=4090651448,1431678320,2450788523,3350417888
dimwishlist:item=2121785039&perks=4090651448,1885400500,2779035018,4104185692
dimwishlist:item=2121785039&perks=4090651448,1885400500,2779035018,3425386926
dimwishlist:item=2121785039&perks=4090651448,1885400500,2779035018,3592538738
dimwishlist:item=2121785039&perks=4090651448,1885400500,2779035018,2848615171
dimwishlist:item=2121785039&perks=4090651448,1885400500,2779035018,3350417888
dimwishlist:item=2121785039&perks=4090651448,1885400500,247725512,4104185692
dimwishlist:item=2121785039&perks=4090651448,1885400500,247725512,3425386926
dimwishlist:item=2121785039&perks=4090651448,1885400500,247725512,3592538738
dimwishlist:item=2121785039&perks=4090651448,1885400500,247725512,2848615171
dimwishlist:item=2121785039&perks=4090651448,1885400500,247725512,3350417888
dimwishlist:item=2121785039&perks=4090651448,1885400500,2450788523,4104185692
dimwishlist:item=2121785039&perks=4090651448,1885400500,2450788523,3425386926
dimwishlist:item=2121785039&perks=4090651448,1885400500,2450788523,3592538738
dimwishlist:item=2121785039&perks=4090651448,1885400500,2450788523,2848615171
dimwishlist:item=2121785039&perks=4090651448,1885400500,2450788523,3350417888
dimwishlist:item=2121785039&perks=4090651448,1561002382,2779035018,4104185692
dimwishlist:item=2121785039&perks=4090651448,1561002382,2779035018,3425386926
dimwishlist:item=2121785039&perks=4090651448,1561002382,2779035018,3592538738
dimwishlist:item=2121785039&perks=4090651448,1561002382,2779035018,2848615171
dimwishlist:item=2121785039&perks=4090651448,1561002382,2779035018,3350417888
dimwishlist:item=2121785039&perks=4090651448,1561002382,247725512,4104185692
dimwishlist:item=2121785039&perks=4090651448,1561002382,247725512,3425386926
dimwishlist:item=2121785039&perks=4090651448,1561002382,247725512,3592538738
dimwishlist:item=2121785039&perks=4090651448,1561002382,247725512,2848615171
dimwishlist:item=2121785039&perks=4090651448,1561002382,247725512,3350417888
dimwishlist:item=2121785039&perks=4090651448,1561002382,2450788523,4104185692
dimwishlist:item=2121785039&perks=4090651448,1561002382,2450788523,3425386926
dimwishlist:item=2121785039&perks=4090651448,1561002382,2450788523,3592538738
dimwishlist:item=2121785039&perks=4090651448,1561002382,2450788523,2848615171
dimwishlist:item=2121785039&perks=4090651448,1561002382,2450788523,3350417888
